Membership No  Date Joined  Active  
    68125      2019-2-22    yes   
    16930      2016-7-6     yes   
    63899      2018-4-25    yes   
    12369      2018-4-16    yes   
    46715      2015-2-20    yes   
    49083      2020-9-13    yes   
    90595      2016-5-18    yes   
    17041      2016-1-18    yes   
    37620      2020-6-17    yes   
    95250      2020-7-20    yes   
    52268      2016-4-1     yes   
    96960      2016-5-3     yes   
    13911      2016-7-4     yes   
    66183      2020-1-11    yes   
    86763      2015-7-8     yes   
